machine_id,timestamp,temperature,vibration,pressure,current,voltage,energy_kwh,production_count,quality_score,operating_status,failure_risk,is_weekend,hour,temp_rolling_mean,vib_rolling_mean,temp_rate,vib_rate,energy_efficiency
M-001,2026-06-01 18:00:00,71.39,26.37,36.83,17.5,216.58,47.39,99,0.9912,RUNNING,0,0,18,70.21,25.935,1.08,0.4,2.089
M-001,2026-06-02 08:00:00,70.9,26.2,36.56,17.38,215.18,47.39,99,0.9776,RUNNING,0,0,8,70.1883,25.9283,-0.49,-0.17,2.089
M-001,2026-06-02 10:00:00,69.0,25.5,35.58,16.91,216.83,47.39,99,0.9908,RUNNING,0,0,10,70.725,26.1283,-1.9,-0.7,2.089
M-001,2026-06-02 12:00:00,66.57,24.6,34.33,16.32,219.27,47.39,99,0.9766,RUNNING,0,0,12,70.7167,26.1267,-2.43,-0.9,2.089
M-001,2026-06-02 14:00:00,70.27,25.97,36.24,17.22,217.25,47.39,99,0.9794,RUNNING,0,0,14,69.74,25.7683,3.7,1.37,2.089
M-001,2026-06-02 16:00:00,69.45,25.66,35.81,17.02,220.26,47.39,99,0.988,RUNNING,0,0,16,69.5967,25.7167,-0.82,-0.31,2.089
M-001,2026-06-02 18:00:00,68.24,25.21,35.19,16.73,220.53,47.39,99,0.9823,RUNNING,0,0,18,69.0717,25.5233,-1.21,-0.45,2.089
M-001,2026-06-03 08:00:00,70.76,26.15,36.48,17.34,215.28,47.4,99,0.9745,RUNNING,0,0,8,69.0483,25.515,2.52,0.94,2.0886
M-001,2026-06-03 10:00:00,67.12,24.81,34.6,16.45,217.28,47.4,99,0.9859,RUNNING,0,0,10,68.735,25.4,-3.64,-1.34,2.0886
M-001,2026-06-03 12:00:00,70.79,26.16,36.5,17.35,220.54,47.4,99,0.9706,RUNNING,0,0,12,69.4383,25.66,3.67,1.35,2.0886
M-001,2026-06-03 14:00:00,69.91,25.84,36.04,17.14,214.31,47.4,99,0.9703,RUNNING,0,0,14,69.3783,25.6383,-0.88,-0.32,2.0886
M-001,2026-06-03 16:00:00,73.9,27.31,38.1,18.12,216.09,47.4,99,0.9714,RUNNING,0,0,16,70.12,25.9133,3.99,1.47,2.0886
M-001,2026-06-03 18:00:00,62.12,22.96,32.02,15.23,215.33,47.4,99,0.9774,RUNNING,0,0,18,69.1,25.5383,-11.78,-4.35,2.0886
M-001,2026-06-04 08:00:00,64.82,23.97,33.4,15.89,216.53,47.41,99,0.992,RUNNING,0,0,8,68.11,25.175,2.7,1.01,2.0882
M-001,2026-06-04 10:00:00,67.08,24.8,34.57,16.44,215.05,47.41,99,0.9681,RUNNING,0,0,10,68.1033,25.1733,2.26,0.83,2.0882
M-001,2026-06-04 12:00:00,65.57,24.24,33.79,16.07,218.26,47.41,99,0.9798,RUNNING,0,0,12,67.2333,24.8533,-1.51,-0.56,2.0882
M-001,2026-06-04 14:00:00,72.85,26.93,37.55,17.86,221.48,47.41,99,0.961,RUNNING,0,0,14,67.7233,25.035,7.28,2.69,2.0882
M-001,2026-06-04 16:00:00,70.85,26.19,36.52,17.37,214.67,47.41,99,0.9872,RUNNING,0,0,16,67.215,24.8483,-2.0,-0.74,2.0882
M-001,2026-06-04 18:00:00,68.59,25.36,35.35,16.81,217.15,47.41,99,0.9665,RUNNING,0,0,18,68.2933,25.2483,-2.26,-0.83,2.0882
M-001,2026-06-05 08:00:00,68.07,25.17,35.07,16.69,217.29,47.41,99,0.9928,RUNNING,0,0,8,68.835,25.4483,-0.52,-0.19,2.0882
M-001,2026-06-05 10:00:00,66.79,24.7,34.41,16.37,215.9,47.41,99,0.9886,RUNNING,0,0,10,68.7867,25.4317,-1.28,-0.47,2.0882
M-001,2026-06-05 12:00:00,66.57,24.62,34.3,16.32,219.58,47.41,99,0.9791,RUNNING,0,0,12,68.9533,25.495,-0.22,-0.08,2.0882
M-001,2026-06-05 14:00:00,70.6,26.11,36.38,17.31,217.89,47.41,99,0.973,RUNNING,0,0,14,68.5783,25.3583,4.03,1.49,2.0882
M-001,2026-06-05 16:00:00,70.9,26.22,36.54,17.38,215.42,47.41,99,0.9742,RUNNING,0,0,16,68.5867,25.3633,0.3,0.11,2.0882
M-001,2026-06-05 18:00:00,71.49,26.44,36.84,17.52,217.73,47.41,99,0.9785,RUNNING,0,0,18,69.07,25.5433,0.59,0.22,2.0882
M-001,2026-06-06 08:00:00,32.6,12.06,16.79,7.99,214.9,23.71,49,0.9818,IDLE,0,1,8,63.1583,23.3583,-38.89,-14.38,2.0666
M-001,2026-06-06 10:00:00,36.06,13.34,18.57,8.84,214.69,23.71,49,0.9707,IDLE,0,1,10,58.0367,21.465,3.46,1.28,2.0666
M-001,2026-06-06 12:00:00,35.02,12.95,18.04,8.58,217.34,23.71,49,0.9628,IDLE,0,1,12,52.7783,19.52,-1.04,-0.39,2.0666
M-001,2026-06-06 14:00:00,35.07,12.97,18.06,8.6,215.8,23.71,49,0.9955,IDLE,0,1,14,46.8567,17.33,0.05,0.02,2.0666
M-001,2026-06-06 16:00:00,35.22,13.03,18.14,8.63,218.01,23.71,49,0.9835,IDLE,0,1,16,40.91,15.1317,0.15,0.06,2.0666
M-001,2026-06-06 18:00:00,32.68,12.09,16.83,8.01,221.32,23.71,49,0.9628,IDLE,0,1,18,34.4417,12.74,-2.54,-0.94,2.0666
M-001,2026-06-07 08:00:00,36.18,13.38,18.63,8.87,218.44,23.71,49,0.9742,IDLE,0,1,8,35.0383,12.96,3.5,1.29,2.0666
M-001,2026-06-07 10:00:00,35.95,13.3,18.52,8.81,216.41,23.71,49,0.9722,IDLE,0,1,10,35.02,12.9533,-0.23,-0.08,2.0666
M-001,2026-06-07 12:00:00,35.61,13.17,18.34,8.73,214.91,23.71,49,0.9767,IDLE,0,1,12,35.1183,12.99,-0.34,-0.13,2.0666
M-001,2026-06-07 14:00:00,33.76,12.49,17.39,8.28,216.37,23.71,49,0.9833,IDLE,0,1,14,34.9,12.91,-1.85,-0.68,2.0666
M-001,2026-06-07 16:00:00,33.76,12.49,17.39,8.28,216.68,23.71,49,0.9739,IDLE,0,1,16,34.6567,12.82,0.0,0.0,2.0666
M-001,2026-06-07 18:00:00,37.3,13.8,19.21,9.14,217.84,23.71,49,0.9811,IDLE,0,1,18,35.4267,13.105,3.54,1.31,2.0666
M-001,2026-06-08 08:00:00,71.98,26.64,37.06,17.64,215.81,47.43,99,0.9874,RUNNING,0,0,8,41.3933,15.315,34.68,12.84,2.0873
M-001,2026-06-08 10:00:00,70.81,26.2,36.46,17.36,213.71,47.43,99,0.9645,RUNNING,0,0,10,47.2033,17.465,-1.17,-0.44,2.0873
M-001,2026-06-08 12:00:00,67.62,25.03,34.81,16.57,214.23,47.43,99,0.9764,RUNNING,0,0,12,52.5383,19.4417,-3.19,-1.17,2.0873
M-001,2026-06-08 14:00:00,66.09,24.46,34.02,16.2,216.88,47.43,99,0.9929,RUNNING,0,0,14,57.9267,21.4367,-1.53,-0.57,2.0873
M-001,2026-06-08 16:00:00,69.43,25.7,35.75,17.02,216.44,47.43,99,0.9827,RUNNING,0,0,16,63.8717,23.6383,3.34,1.24,2.0873
M-001,2026-06-08 18:00:00,67.19,24.87,34.59,16.47,218.93,47.43,99,0.9838,RUNNING,0,0,18,68.8533,25.4833,-2.24,-0.83,2.0873
M-001,2026-06-09 08:00:00,69.76,25.82,35.91,17.1,217.43,47.44,99,0.9991,RUNNING,0,0,8,68.4833,25.3467,2.57,0.95,2.0868
M-001,2026-06-09 10:00:00,72.9,26.98,37.53,17.87,221.87,47.44,99,0.984,RUNNING,0,0,10,68.8317,25.4767,3.14,1.16,2.0868
M-001,2026-06-09 12:00:00,64.51,23.89,33.2,15.81,216.53,47.44,99,0.9617,RUNNING,0,0,12,68.3133,25.2867,-8.39,-3.09,2.0868
M-001,2026-06-09 14:00:00,71.46,26.45,36.78,17.52,218.71,47.44,99,0.9698,RUNNING,0,0,14,69.2083,25.6183,6.95,2.56,2.0868
M-001,2026-06-09 16:00:00,67.35,24.93,34.66,16.51,217.42,47.44,99,0.9667,RUNNING,0,0,16,68.8617,25.49,-4.11,-1.52,2.0868
M-001,2026-06-09 18:00:00,65.2,24.14,33.56,15.98,219.78,47.44,99,0.9798,RUNNING,0,0,18,68.53,25.3683,-2.15,-0.79,2.0868
M-001,2026-06-10 08:00:00,67.71,25.07,34.84,16.6,213.42,47.44,99,0.9871,RUNNING,0,0,8,68.1883,25.2433,2.51,0.93,2.0868
M-001,2026-06-10 10:00:00,67.27,24.91,34.61,16.49,221.14,47.44,99,0.9871,RUNNING,0,0,10,67.25,24.8983,-0.44,-0.16,2.0868
M-001,2026-06-10 12:00:00,66.84,24.75,34.39,16.38,215.54,47.44,99,0.9958,RUNNING,0,0,12,67.6383,25.0417,-0.43,-0.16,2.0868
M-001,2026-06-10 14:00:00,69.35,25.68,35.69,17.0,215.98,47.44,99,0.9788,RUNNING,0,0,14,67.2867,24.9133,2.51,0.93,2.0868
M-001,2026-06-10 16:00:00,67.84,25.12,34.91,16.63,217.62,47.44,99,0.9778,RUNNING,0,0,16,67.3683,24.945,-1.51,-0.56,2.0868
M-001,2026-06-10 18:00:00,72.68,26.91,37.41,17.82,216.25,47.44,99,0.9697,RUNNING,0,0,18,68.615,25.4067,4.84,1.79,2.0868
M-001,2026-06-11 08:00:00,68.45,25.35,35.21,16.78,216.32,47.45,99,0.9776,RUNNING,0,0,8,68.7383,25.4533,-4.23,-1.56,2.0864
M-001,2026-06-11 10:00:00,71.86,26.61,36.97,17.62,218.35,47.45,99,0.9904,RUNNING,0,0,10,69.5033,25.7367,3.41,1.26,2.0864
M-001,2026-06-11 12:00:00,66.84,24.76,34.38,16.38,217.94,47.45,99,0.9857,RUNNING,0,0,12,69.5033,25.7383,-5.02,-1.85,2.0864
M-001,2026-06-11 14:00:00,67.32,24.94,34.63,16.5,216.64,47.45,99,0.9609,RUNNING,0,0,14,69.165,25.615,0.48,0.18,2.0864
M-001,2026-06-11 16:00:00,72.81,26.96,37.46,17.85,216.63,47.45,99,0.9865,RUNNING,0,0,16,69.9933,25.9217,5.49,2.02,2.0864
M-001,2026-06-11 18:00:00,70.38,26.07,36.21,17.25,216.69,47.45,99,0.9625,RUNNING,0,0,18,69.61,25.7817,-2.43,-0.89,2.0864
M-001,2026-06-12 08:00:00,64.77,24.0,33.3,15.88,211.47,47.46,99,0.9727,RUNNING,0,0,8,68.9967,25.5567,-5.61,-2.07,2.086
M-001,2026-06-12 10:00:00,77.59,28.73,39.92,19.02,214.3,47.46,99,0.952,RUNNING,0,0,10,69.9517,25.91,12.82,4.73,2.086
M-001,2026-06-12 12:00:00,73.02,27.05,37.56,17.9,222.23,47.46,99,0.9813,RUNNING,0,0,12,70.9817,26.2917,-4.57,-1.68,2.086
M-001,2026-06-12 14:00:00,70.68,26.18,36.35,17.33,216.42,47.46,99,0.9603,RUNNING,0,0,14,71.5417,26.4983,-2.34,-0.87,2.086
M-001,2026-06-12 16:00:00,64.64,23.95,33.24,15.85,216.41,47.46,99,0.9732,RUNNING,0,0,16,70.18,25.9967,-6.04,-2.23,2.086
M-001,2026-06-12 18:00:00,69.28,25.67,35.63,16.98,218.9,47.46,99,0.9725,RUNNING,0,0,18,69.9967,25.93,4.64,1.72,2.086
M-001,2026-06-13 08:00:00,36.32,13.46,18.68,8.9,215.85,23.73,49,0.9885,IDLE,0,1,8,65.255,24.1733,-32.96,-12.21,2.0649
M-001,2026-06-13 10:00:00,35.0,12.97,18.0,8.58,216.15,23.73,49,0.9788,IDLE,0,1,10,58.1567,21.5467,-1.32,-0.49,2.0649
M-001,2026-06-13 12:00:00,34.34,12.73,17.66,8.42,217.34,23.73,49,0.9857,IDLE,0,1,12,51.71,19.16,-0.66,-0.24,2.0649
M-001,2026-06-13 14:00:00,34.7,12.86,17.84,8.5,216.29,23.73,49,0.9669,IDLE,0,1,14,45.7133,16.94,0.36,0.13,2.0649
M-001,2026-06-13 16:00:00,35.85,13.29,18.44,8.79,217.85,23.73,49,0.9663,IDLE,0,1,16,40.915,15.1633,1.15,0.43,2.0649
M-001,2026-06-13 18:00:00,36.3,13.45,18.67,8.9,214.49,23.73,49,0.9884,IDLE,0,1,18,35.4183,13.1267,0.45,0.16,2.0649
M-001,2026-06-14 08:00:00,36.05,13.36,18.53,8.84,218.01,23.73,49,0.9742,IDLE,0,1,8,35.3733,13.11,-0.25,-0.09,2.0649
M-001,2026-06-14 10:00:00,35.86,13.29,18.43,8.79,219.43,23.73,49,0.9839,IDLE,0,1,10,35.5167,13.1633,-0.19,-0.07,2.0649
M-001,2026-06-14 12:00:00,33.69,12.49,17.32,8.26,217.68,23.73,49,0.9893,IDLE,0,1,12,35.4083,13.1233,-2.17,-0.8,2.0649
M-001,2026-06-14 14:00:00,38.68,14.33,19.89,9.48,216.65,34.66,49,0.9866,IDLE,0,1,14,36.0717,13.3683,4.99,1.84,1.4137
M-001,2026-06-14 16:00:00,33.94,12.58,17.45,8.32,220.36,23.73,49,0.9913,IDLE,0,1,16,35.7533,13.25,-4.74,-1.75,2.0649
M-001,2026-06-14 18:00:00,37.16,13.77,19.11,9.11,217.6,23.73,49,0.9871,IDLE,0,1,18,35.8967,13.3033,3.22,1.19,2.0649
M-001,2026-06-15 08:00:00,65.77,24.39,33.79,16.12,217.11,47.47,99,0.9824,RUNNING,0,0,8,40.85,15.1417,28.61,10.62,2.0855
M-001,2026-06-15 10:00:00,66.0,24.48,33.91,16.18,217.55,47.47,99,0.9947,RUNNING,0,0,10,45.8733,17.0067,0.23,0.09,2.0855
M-001,2026-06-15 12:00:00,71.68,26.57,36.84,17.57,219.09,47.47,99,0.9534,RUNNING,0,0,12,52.205,19.3533,5.68,2.09,2.0855
M-001,2026-06-15 14:00:00,75.14,27.85,38.63,18.42,216.69,47.47,99,0.9702,RUNNING,0,0,14,58.2817,21.6067,3.46,1.28,2.0855
M-001,2026-06-15 16:00:00,69.13,25.63,35.52,16.94,213.87,47.47,99,0.9884,RUNNING,0,0,16,64.1467,23.7817,-6.01,-2.22,2.0855
M-001,2026-06-15 18:00:00,68.57,25.43,35.24,16.81,215.49,47.47,99,0.9762,RUNNING,0,0,18,69.3817,25.725,-0.56,-0.2,2.0855
M-001,2026-06-16 08:00:00,73.64,27.3,37.84,18.05,217.38,47.48,99,0.9637,RUNNING,0,0,8,70.6933,26.21,5.07,1.87,2.0851
M-001,2026-06-16 10:00:00,71.37,26.46,36.67,17.49,215.08,47.48,99,0.9562,RUNNING,0,0,10,71.5883,26.54,-2.27,-0.84,2.0851
M-001,2026-06-16 12:00:00,74.95,27.79,38.52,18.37,218.09,47.48,99,0.977,RUNNING,0,0,12,72.1333,26.7433,3.58,1.33,2.0851
M-001,2026-06-16 14:00:00,68.55,25.43,35.22,16.8,220.13,47.48,99,1.0086,RUNNING,0,0,14,71.035,26.34,-6.4,-2.36,2.0851
M-001,2026-06-16 16:00:00,71.31,26.44,36.64,17.48,214.86,47.48,99,0.9762,RUNNING,0,0,16,71.3983,26.475,2.76,1.01,2.0851
M-001,2026-06-16 18:00:00,71.25,26.42,36.61,17.46,211.99,47.48,99,0.9811,RUNNING,0,0,18,71.845,26.64,-0.06,-0.02,2.0851
M-001,2026-06-17 08:00:00,71.29,26.44,36.62,17.47,219.98,47.49,99,0.9898,RUNNING,0,0,8,71.4533,26.4967,0.04,0.02,2.0846
M-001,2026-06-17 10:00:00,70.16,26.02,36.04,17.2,220.38,47.49,99,0.998,RUNNING,0,0,10,71.2517,26.4233,-1.13,-0.42,2.0846
M-001,2026-06-17 12:00:00,69.87,25.92,35.89,17.13,218.0,47.49,99,0.9599,RUNNING,0,0,12,70.405,26.1117,-0.29,-0.1,2.0846
M-001,2026-06-17 14:00:00,64.73,24.02,33.24,15.87,215.28,47.49,99,0.9732,RUNNING,0,0,14,69.7683,25.8767,-5.14,-1.9,2.0846
M-001,2026-06-17 16:00:00,65.97,24.48,33.87,16.17,217.02,47.49,99,0.9735,RUNNING,0,0,16,68.8783,25.55,1.24,0.46,2.0846
M-001,2026-06-17 18:00:00,73.49,27.26,37.76,18.01,216.06,47.49,99,0.9547,RUNNING,0,0,18,69.2517,25.69,7.52,2.78,2.0846
M-001,2026-06-18 08:00:00,70.23,26.06,36.06,17.21,217.06,47.49,99,0.9689,RUNNING,0,0,8,69.075,25.6267,-3.26,-1.2,2.0846
M-001,2026-06-18 10:00:00,70.12,26.02,36.01,17.19,214.76,47.49,99,0.9808,RUNNING,0,0,10,69.0683,25.6267,-0.11,-0.04,2.0846
M-001,2026-06-18 12:00:00,78.93,29.27,40.55,19.35,213.18,47.49,99,0.9723,RUNNING,0,0,12,70.5783,26.185,8.81,3.25,2.0846
M-001,2026-06-18 14:00:00,67.44,25.03,34.62,16.53,216.16,47.49,99,0.9877,RUNNING,0,0,14,71.03,26.3533,-11.49,-4.24,2.0846
M-001,2026-06-18 16:00:00,71.68,26.59,36.81,17.57,218.94,47.49,99,0.9778,RUNNING,0,0,16,71.9817,26.705,4.24,1.56,2.0846
M-001,2026-06-18 18:00:00,65.2,24.2,33.47,15.98,214.68,47.49,99,0.9849,RUNNING,0,0,18,70.6,26.195,-6.48,-2.39,2.0846
M-001,2026-06-19 08:00:00,70.4,26.13,36.14,17.26,219.83,47.5,99,0.9803,RUNNING,0,0,8,70.6283,26.2067,5.2,1.93,2.0842
M-001,2026-06-19 10:00:00,65.7,24.39,33.72,16.1,215.96,47.5,99,0.983,RUNNING,0,0,10,69.8917,25.935,-4.7,-1.74,2.0842
M-001,2026-06-19 12:00:00,72.28,26.82,37.11,17.72,218.95,47.5,99,0.9669,RUNNING,0,0,12,68.7833,25.5267,6.58,2.43,2.0842
M-001,2026-06-19 14:00:00,65.64,24.37,33.69,16.09,216.68,47.5,99,0.9918,RUNNING,0,0,14,68.4833,25.4167,-6.64,-2.45,2.0842
M-001,2026-06-19 16:00:00,67.4,25.02,34.59,16.52,218.08,47.5,99,0.9819,RUNNING,0,0,16,67.77,25.155,1.76,0.65,2.0842
M-001,2026-06-19 18:00:00,72.45,26.88,37.2,17.76,220.71,47.5,99,0.993,RUNNING,0,0,18,68.9783,25.6017,5.05,1.86,2.0842
M-001,2026-06-20 08:00:00,33.88,12.58,17.39,8.3,212.54,23.75,49,0.9704,IDLE,0,1,8,62.8917,23.3433,-38.57,-14.3,2.0632
M-001,2026-06-20 10:00:00,35.04,13.01,17.99,8.59,216.31,23.75,49,0.9969,IDLE,0,1,10,57.7817,21.4467,1.16,0.43,2.0632
M-001,2026-06-20 12:00:00,34.95,12.97,17.94,8.57,218.51,23.75,49,0.9794,IDLE,0,1,12,51.56,19.1383,-0.09,-0.04,2.0632
M-001,2026-06-20 14:00:00,34.31,12.74,17.61,8.41,212.92,36.72,49,0.9764,IDLE,0,1,14,46.3383,17.2,-0.64,-0.23,1.3344
M-001,2026-06-20 16:00:00,39.55,14.68,20.31,9.7,219.17,23.75,49,0.998,IDLE,0,1,16,41.6967,15.4767,5.24,1.94,2.0632
M-001,2026-06-20 18:00:00,32.9,12.22,16.88,8.07,216.61,23.75,49,0.984,IDLE,0,1,18,35.105,13.0333,-6.65,-2.46,2.0632
M-001,2026-06-21 08:00:00,35.85,13.31,18.4,8.79,217.76,23.76,49,0.9551,IDLE,0,1,8,35.4333,13.155,2.95,1.09,2.0623
M-001,2026-06-21 10:00:00,31.95,11.87,16.38,7.83,220.39,23.76,49,0.994,IDLE,0,1,10,34.9183,12.965,-3.9,-1.44,2.0623
M-001,2026-06-21 12:00:00,34.74,12.9,17.82,8.51,220.11,23.76,49,0.9669,IDLE,0,1,12,34.8833,12.9533,2.79,1.03,2.0623
M-001,2026-06-21 14:00:00,33.54,12.46,17.21,8.22,214.7,23.76,49,0.9686,IDLE,0,1,14,34.755,12.9067,-1.2,-0.44,2.0623
M-001,2026-06-21 16:00:00,36.18,13.43,18.57,8.87,215.22,23.76,49,0.9995,IDLE,0,1,16,34.1933,12.6983,2.64,0.97,2.0623
M-001,2026-06-21 18:00:00,35.72,13.26,18.33,8.76,219.45,23.76,49,0.982,IDLE,0,1,18,34.6633,12.8717,-0.46,-0.17,2.0623
M-001,2026-06-22 08:00:00,74.08,27.51,38.01,18.16,215.21,47.52,99,0.9914,RUNNING,0,0,8,41.035,15.2383,38.36,14.25,2.0833
M-001,2026-06-22 10:00:00,70.35,26.13,36.09,17.24,219.72,47.52,99,0.9626,RUNNING,0,0,10,47.435,17.615,-3.73,-1.38,2.0833
M-001,2026-06-22 12:00:00,70.49,26.18,36.16,17.28,217.41,47.52,99,0.9708,RUNNING,0,0,12,53.3933,19.8283,0.14,0.05,2.0833
M-001,2026-06-22 14:00:00,70.95,26.35,36.4,17.39,220.44,47.52,99,0.97,RUNNING,0,0,14,59.6283,22.1433,0.46,0.17,2.0833
M-001,2026-06-22 16:00:00,73.2,27.18,37.56,17.94,214.65,47.52,99,0.998,RUNNING,0,0,16,65.7983,24.435,2.25,0.83,2.0833
M-001,2026-06-22 18:00:00,72.59,26.96,37.24,17.79,220.84,47.52,99,0.9837,RUNNING,0,0,18,71.9433,26.7183,-0.61,-0.22,2.0833
M-001,2026-06-23 08:00:00,71.24,26.46,36.54,17.46,218.82,47.52,99,0.9755,RUNNING,0,0,8,71.47,26.5433,-1.35,-0.5,2.0833
M-001,2026-06-23 10:00:00,64.27,23.89,32.94,15.75,218.07,47.52,99,0.9693,RUNNING,0,0,10,70.4567,26.17,-6.97,-2.57,2.0833
M-001,2026-06-23 12:00:00,66.06,24.55,33.86,16.19,218.48,47.52,99,0.974,RUNNING,0,0,12,69.7183,25.8983,1.79,0.66,2.0833
M-001,2026-06-23 14:00:00,73.45,27.28,37.68,18.0,215.38,47.52,99,0.9721,RUNNING,0,0,14,70.135,26.0533,7.39,2.73,2.0833
M-001,2026-06-23 16:00:00,73.88,27.44,37.9,18.11,217.7,47.52,99,0.962,RUNNING,0,0,16,70.2483,26.0967,0.43,0.16,2.0833
M-001,2026-06-23 18:00:00,70.78,26.29,36.3,17.35,220.31,47.52,99,0.972,RUNNING,0,0,18,69.9467,25.985,-3.1,-1.15,2.0833
M-001,2026-06-24 08:00:00,71.98,26.74,36.91,17.64,215.25,47.53,99,0.9753,RUNNING,0,0,8,70.07,26.0317,1.2,0.45,2.0829
M-001,2026-06-24 10:00:00,73.68,27.37,37.79,18.06,217.57,47.53,99,0.9896,RUNNING,0,0,10,71.6383,26.6117,1.7,0.63,2.0829
M-001,2026-06-24 12:00:00,71.38,26.52,36.6,17.5,221.91,47.53,99,0.961,RUNNING,0,0,12,72.525,26.94,-2.3,-0.85,2.0829
M-001,2026-06-24 14:00:00,69.15,25.7,35.45,16.95,214.74,47.53,99,0.9665,RUNNING,0,0,14,71.8083,26.6767,-2.23,-0.82,2.0829
M-001,2026-06-24 16:00:00,66.4,24.69,34.03,16.28,217.46,47.53,99,0.9789,RUNNING,0,0,16,70.5617,26.2183,-2.75,-1.01,2.0829
M-001,2026-06-24 18:00:00,71.38,26.53,36.6,17.5,214.66,47.53,99,0.9734,RUNNING,0,0,18,70.6617,26.2583,4.98,1.84,2.0829
M-001,2026-06-25 08:00:00,66.57,24.76,34.11,16.32,219.13,47.54,99,0.9679,RUNNING,0,0,8,69.76,25.9283,-4.81,-1.77,2.0825
M-001,2026-06-25 10:00:00,69.18,25.72,35.45,16.96,218.31,47.54,99,0.9704,RUNNING,0,0,10,69.01,25.6533,2.61,0.96,2.0825
M-001,2026-06-25 12:00:00,72.33,26.88,37.08,17.73,220.56,47.54,99,0.9785,RUNNING,0,0,12,69.1683,25.7133,3.15,1.16,2.0825
M-001,2026-06-25 14:00:00,73.05,27.15,37.45,17.91,212.59,47.54,99,0.9723,RUNNING,0,0,14,69.8183,25.955,0.72,0.27,2.0825
M-001,2026-06-25 16:00:00,70.56,26.23,36.17,17.3,214.81,47.54,99,0.9786,RUNNING,0,0,16,70.5117,26.2117,-2.49,-0.92,2.0825
M-001,2026-06-25 18:00:00,73.6,27.35,37.74,18.04,213.02,47.54,99,0.9647,RUNNING,0,0,18,70.8817,26.3483,3.04,1.12,2.0825
M-001,2026-06-26 08:00:00,70.58,26.24,36.17,17.3,218.1,47.54,99,0.9838,RUNNING,0,0,8,71.55,26.595,-3.02,-1.11,2.0825
M-001,2026-06-26 10:00:00,70.32,26.15,36.04,17.24,218.1,47.54,99,0.9855,RUNNING,0,0,10,71.74,26.6667,-0.26,-0.09,2.0825
M-001,2026-06-26 12:00:00,68.5,25.47,35.09,16.79,215.77,47.54,99,0.9747,RUNNING,0,0,12,71.1017,26.4317,-1.82,-0.68,2.0825
M-001,2026-06-26 14:00:00,70.63,26.26,36.19,17.31,215.67,47.54,99,0.9725,RUNNING,0,0,14,70.6983,26.2833,2.13,0.79,2.0825
M-001,2026-06-26 16:00:00,71.32,26.51,36.55,17.48,217.44,47.54,99,0.9746,RUNNING,0,0,16,70.825,26.33,0.69,0.25,2.0825
M-001,2026-06-26 18:00:00,63.89,23.77,32.72,15.66,217.09,47.54,99,0.9667,RUNNING,0,0,18,69.2067,25.7333,-7.43,-2.74,2.0825
M-001,2026-06-27 08:00:00,36.68,13.64,18.8,8.99,216.43,23.77,49,0.9663,IDLE,0,1,8,63.5567,23.6333,-27.21,-10.13,2.0614
M-001,2026-06-27 10:00:00,34.87,12.97,17.86,8.55,219.85,23.77,49,0.9826,IDLE,0,1,10,57.6483,21.4367,-1.81,-0.67,2.0614
M-001,2026-06-27 12:00:00,35.36,13.15,18.12,8.67,214.22,23.77,49,0.9925,IDLE,0,1,12,52.125,19.3833,0.49,0.18,2.0614
M-001,2026-06-27 14:00:00,33.9,12.61,17.36,8.31,219.12,23.77,49,0.973,IDLE,0,1,14,46.0033,17.1083,-1.46,-0.54,2.0614
